All Shortstops 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Andrus, Elvis SS TEX "	Shits & Giggles	612	91	171	137	25	5	4	63	55	89	33	10	0.2794	0.3422	0.3562	41
"Reyes, Jose SS TOR"	Shits & Giggles	520	82	159	112	29	9	9	46	47	48	31	8	0.3058	0.3608	0.4481	42
"Zobrist, Ben 2B TB "	Orange-a-Tangs	587	88	159	97	40	5	17	79	82	107	15	6	0.2709	0.3608	0.4429	46
"Desmond, Ian SS WAS "	User Abuser	566	71	155	101	33	3	18	67	36	132	22	7	0.2739	0.3197	0.4382	55
"Rollins, Jimmy SS PHI "	Free Agent	600	85	154	106	30	3	15	57	60	83	27	6	0.2567	0.3238	0.3917	61
"Castro, Starlin SS CHC "	Orange-a-Tangs	662	76	184	132	33	8	11	63	34	108	19	9	0.2779	0.3158	0.4018	74
"Ramirez, Hanley SS LAD "	Titty`s Warriors	415	65	114	71	23	2	18	65	42	83	17	6	0.2747	0.3456	0.4699	76
"Cabrera, Asdrubal SS CLE"	Sofa Kings	556	74	146	92	34	2	18	75	44	111	12	4	0.2626	0.3235	0.4281	77
"Tulowitzki, Troy SS COL "	SA`s	388	62	118	72	24	1	21	71	45	61	4	2	0.3041	0.3773	0.5335	79
"Hardy, J.J. SS BAL "	Titty`s Warriors	597	76	153	98	28	1	26	75	36	90	1	0	0.2563	0.2994	0.4372	85
"Ramirez, Alexei SS CHW "	Old Dirty Bugg	615	69	168	124	31	3	10	64	31	76	19	7	0.2732	0.3104	0.3821	91
"Aybar, Erick SS LAA "	Whiteness	541	69	151	105	32	6	8	53	25	63	21	6	0.2791	0.3153	0.4048	105
"Escobar, Alcides SS KC"	Floaters and Sinkers	587	65	153	119	24	6	4	50	24	86	28	5	0.2606	0.2945	0.3424	125
"Peralta, Jhonny SS STL "	User Abuser	488	59	136	90	29	2	15	68	41	99	1	2	0.2787	0.3346	0.4385	141
"Segura, Jean SS MIL"	EVIL EMPIRE	370	46	106	82	12	6	6	32	19	54	26	7	0.2865	0.3249	0.4000	167
"Jeter, Derek SS NYY "	Shits & Giggles	431	64	130	103	19	1	7	42	33	60	8	3	0.3016	0.3553	0.3991	169
"Escobar, Yunel SS TB"	Want-a-be Ghetto All Stars	526	65	140	104	24	2	10	52	51	71	4	3	0.2662	0.3333	0.3764	199
"Aviles, Mike 3B CLE"	Free Agent	386	47	97	66	20	1	10	48	17	54	12	5	0.2513	0.2822	0.3860	232
"Lowrie, Jed SS OAK "	Whiteness	417	54	112	72	26	2	12	51	39	72	1	0	0.2686	0.3312	0.4269	236
"Cabrera, Everth SS SD "	Floaters and Sinkers	262	35	69	53	11	3	2	18	28	61	28	5	0.2634	0.3390	0.3511	288
"Simmons, Andrelton SS ATL"	Disco Bush Horticulturists	386	46	99	67	18	4	10	39	26	38	4	2	0.2565	0.3038	0.4016	315
"Drew, Stephen SS BOS "	Free Agent	350	46	86	52	21	5	8	47	40	91	4	2	0.2457	0.3223	0.4029	326
"Rutledge, Josh 2B COL"	SA`s	281	41	72	48	13	3	8	28	16	58	10	0	0.2562	0.3023	0.4093	336
"Miller, Brad SS SEA"	Free Agent	306	41	81	56	11	6	8	36	24	52	5	3	0.2647	0.3183	0.4183	340
"Cozart, Zack SS CIN"	Whiteness	388	51	98	65	21	2	10	34	19	74	1	0	0.2526	0.2881	0.3943	348
"Pennington, Cliff SS ARI"	Free Agent	401	44	97	71	19	2	5	35	34	83	10	5	0.2419	0.3014	0.3367	366
"Izturis, Maicer 2B TOR"	Free Agent	368	40	95	72	19	0	4	30	28	47	9	4	0.2582	0.3159	0.3424	382
"Nunez, Eduardo SS NYY "	Free Agent	234	30	62	44	13	2	3	23	16	33	14	4	0.2650	0.3110	0.3761	395
"Gordon, Dee SS LAD "	Free Agent	207	27	53	44	6	2	1	11	12	37	22	6	0.2560	0.2986	0.3188	405
"Bloomquist, Willie 2B SEA"	Free Agent	271	36	78	62	12	3	1	21	14	39	9	7	0.2878	0.3253	0.3653	408
"Furcal, Rafael SS MIA "	Free Agent	270	38	68	52	11	1	4	26	24	32	7	3	0.2519	0.3154	0.3444	427
"Descalso, Daniel SS STL"	Free Agent	343	40	83	58	18	4	3	32	31	68	5	3	0.2420	0.3097	0.3440	462
"Lucas, Ed 3B MIA"	Free Agent	351	43	90	71	14	1	4	28	26	78	1	1	0.2564	0.3105	0.3362	466
"Johnson, Elliot 2B ATL"	Free Agent	237	26	52	38	8	2	4	23	18	68	15	5	0.2194	0.2763	0.3207	472
"Crawford, Brandon SS SF"	Disco Bush Horticulturists	377	39	91	65	18	3	5	36	33	74	1	3	0.2414	0.3060	0.3448	482
"Rodriguez, Sean OF TB "	Free Agent	290	34	65	42	15	2	6	30	27	74	6	3	0.2241	0.3079	0.3517	486
"Ryan, Brendan SS NYY"	Free Agent	387	41	83	61	17	2	3	31	34	86	9	3	0.2145	0.2854	0.2920	506
"Villar, Jonathan SS HOU"	Free Agent	210	26	51	39	9	2	1	8	24	71	18	8	0.2429	0.3205	0.3190	509
"Barmes, Clint SS PIT"	Free Agent	402	34	92	65	19	0	8	36	24	88	1	1	0.2289	0.2811	0.3358	511
"Turner, Justin 3B NYM "	Free Agent	269	27	72	49	19	1	3	29	20	39	3	1	0.2677	0.3288	0.3792	516
"Andino, Robert SS PIT "	Free Agent	306	36	72	55	13	0	4	23	28	70	6	3	0.2353	0.3027	0.3170	521
"Tejada, Ruben SS NYM "	Free Agent	333	35	90	72	18	0	0	24	26	49	4	2	0.2703	0.3288	0.3243	523
"Arias, Joaquin 3B SF "	Free Agent	272	24	74	56	11	4	3	26	8	38	3	0	0.2721	0.2962	0.3750	536
"Forsythe, Logan 2B TB "	Free Agent	228	26	55	40	9	2	4	19	20	48	6	1	0.2412	0.3123	0.3509	566
"Nix, Jayson SS TB "	Free Agent	193	24	43	29	9	1	4	19	17	58	8	2	0.2228	0.2944	0.3420	575
"Cedeno, Ronny SS SD "	Free Agent	281	28	70	50	15	2	3	25	20	67	2	3	0.2491	0.2993	0.3488	592
