All Outfielders 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"McCutchen, Andrew CF PIT"	Disco Bush Horticulturists	583	97	176	112	34	5	25	90	79	120	23	11	0.3019	0.3896	0.5060	3
"Braun, Ryan LF MIL "	Disco Bush Horticulturists	462	82	148	87	29	4	28	87	49	92	22	6	0.3203	0.3892	0.5823	5
"Jones, Adam CF BAL"	Whiteness	623	90	177	112	33	2	30	91	29	125	14	5	0.2841	0.3234	0.4880	8
"Trout, Mike CF LAA"	Disco Bush Horticulturists	424	86	133	82	24	6	21	65	62	102	29	4	0.3137	0.4044	0.5472	10
"Gonzalez, Carlos LF COL "	Titty`s Warriors	463	84	139	82	27	5	25	82	48	113	20	4	0.3002	0.3668	0.5421	11
"Ellsbury, Jacoby CF NYY"	SA`s	513	85	155	104	32	4	15	61	39	78	35	7	0.3021	0.3554	0.4678	12
"Pence, Hunter RF SF"	Shits & Giggles	617	87	175	113	33	5	24	100	55	128	12	2	0.2836	0.3436	0.4700	13
"Upton, Justin RF ATL "	Want-a-be Ghetto All Stars	568	102	158	99	30	4	25	75	66	136	16	6	0.2782	0.3606	0.4771	14
"Hamilton, Josh CF LAA "	User Abuser	542	85	150	85	31	4	30	100	49	138	6	2	0.2768	0.3361	0.5148	17
"Bruce, Jay RF CIN "	Titty`s Warriors	590	87	152	82	35	3	32	102	65	166	8	4	0.2576	0.3328	0.4898	19
"Kemp, Matt CF LAD "	EVIL EMPIRE	423	75	129	81	23	2	23	76	45	113	19	5	0.3050	0.3739	0.5319	21
"Holliday, Matt LF STL"	User Abuser	522	94	155	96	34	1	24	90	68	104	4	2	0.2969	0.3847	0.5038	22
"Gordon, Alex LF KC"	Want-a-be Ghetto All Stars	629	95	181	116	41	5	19	80	64	140	13	5	0.2878	0.3570	0.4595	25
"Bautista, Jose RF TOR"	EVIL EMPIRE	432	84	117	62	21	1	33	80	87	86	7	3	0.2708	0.3947	0.5532	28
"Granderson, Curtis CF NYM"	User Abuser	464	90	113	59	19	5	30	80	62	144	14	5	0.2435	0.3371	0.5000	31
"Beltran, Carlos CF NYY "	Floaters and Sinkers	540	80	156	95	32	3	26	88	58	101	6	3	0.2889	0.3570	0.5037	32
"Rios, Alex CF TEX"	Want-a-be Ghetto All Stars	586	80	159	104	31	5	19	72	31	89	25	6	0.2713	0.3093	0.4386	33
"Bourn, Michael CF CLE "	Shits & Giggles	602	88	167	125	27	9	6	52	54	142	42	13	0.2774	0.3379	0.3821	34
"Soriano, Alfonso LF NYY "	Sofa Kings	539	67	137	74	31	1	31	99	36	141	9	4	0.2542	0.3053	0.4879	37
"Hunter, Torii CF DET"	Old Dirty Bugg	573	84	168	118	28	3	19	86	42	124	6	3	0.2932	0.3450	0.4520	40
"Trumbo, Mark 1B ARI "	Shits & Giggles	568	72	143	82	27	2	32	94	38	152	6	4	0.2518	0.3007	0.4754	44
"Crisp, Coco CF OAK "	Sofa Kings	500	77	131	87	25	5	14	55	49	65	36	6	0.2620	0.3249	0.4160	45
"Zobrist, Ben 2B TB "	Orange-a-Tangs	587	88	159	97	40	5	17	79	82	107	15	6	0.2709	0.3608	0.4429	46
"Victorino, Shane CF BOS "	Titty`s Warriors	530	83	146	97	27	8	14	59	44	73	26	4	0.2755	0.3413	0.4358	48
"Stanton, Giancarlo RF MIA "	Free Agent	463	72	124	61	29	2	32	78	63	150	4	2	0.2678	0.3607	0.5464	51
"Cespedes, Yoenis CF OAK"	Disco Bush Horticulturists	508	72	134	83	23	4	24	81	40	120	12	6	0.2638	0.3232	0.4665	57
"Cruz, Nelson RF TEX "	Titty`s Warriors	491	66	129	72	30	0	27	84	39	122	7	3	0.2627	0.3197	0.4888	63
"Gomez, Carlos CF MIL "	Sofa Kings	394	63	104	62	19	6	17	49	24	103	31	5	0.2640	0.3147	0.4721	64
"Cuddyer, Michael RF COL"	Disco Bush Horticulturists	459	66	135	84	30	2	19	71	42	91	10	2	0.2941	0.3538	0.4924	65
"Jackson, Austin CF DET "	Want-a-be Ghetto All Stars	562	97	153	104	27	9	13	53	58	148	14	6	0.2722	0.3419	0.4217	72
"Aoki, Norichika OF KC"	Floaters and Sinkers	558	80	160	119	28	4	9	44	49	48	25	10	0.2867	0.3547	0.3996	73
"Cabrera, Melky LF TOR"	Orange-a-Tangs	487	75	152	107	28	6	11	59	31	68	12	6	0.3121	0.3506	0.4620	75
"Choo, Shin-Soo RF TEX "	EVIL EMPIRE	493	77	137	91	29	2	15	52	74	120	18	8	0.2779	0.3870	0.4361	78
"Swisher, Nick 1B CLE"	Free Agent	537	77	139	84	31	1	23	80	83	135	2	2	0.2588	0.3587	0.4488	81
"Upton, B.J. CF ATL "	Old Dirty Bugg	508	64	116	71	23	2	20	62	53	160	26	8	0.2283	0.3018	0.3996	87
"Suzuki, Ichiro RF NYY"	Free Agent	609	71	166	133	22	4	7	46	29	64	30	6	0.2726	0.3048	0.3563	89
"Willingham, Josh LF MIN"	Free Agent	465	65	112	61	25	0	26	85	66	140	3	1	0.2409	0.3479	0.4624	93
"Craig, Allen 1B STL "	Sofa Kings	392	60	122	80	26	1	15	76	31	76	3	0	0.3112	0.3634	0.4974	96
"Prado, Martin 3B ARI "	Free Agent	592	72	167	117	35	3	12	70	46	58	8	6	0.2821	0.3328	0.4122	102
"Werth, Jayson RF WAS"	Floaters and Sinkers	441	65	122	80	24	1	17	57	59	106	12	2	0.2766	0.3661	0.4512	107
"Pagan, Angel CF SF "	Free Agent	454	69	126	86	26	7	7	47	38	65	23	6	0.2775	0.3306	0.4119	109
"Stubbs, Drew CF COL "	Free Agent	509	75	117	83	19	2	13	43	50	171	29	6	0.2299	0.3027	0.3517	110
"Markakis, Nick RF BAL "	Floaters and Sinkers	565	73	160	118	28	1	13	62	53	67	5	2	0.2832	0.3466	0.4053	111
"Venable, Will RF SD"	Free Agent	423	58	110	68	21	8	13	47	34	101	24	5	0.2600	0.3197	0.4397	114
"Jennings, Desmond CF TB"	Orange-a-Tangs	426	70	107	69	20	6	12	42	47	98	24	5	0.2512	0.3312	0.4108	115
"Heyward, Jason RF ATL "	EVIL EMPIRE	455	70	115	71	23	3	18	54	52	106	11	5	0.2527	0.3346	0.4352	117
"Fowler, Dexter CF HOU "	User Abuser	450	76	124	80	24	10	10	47	67	121	14	8	0.2756	0.3728	0.4400	118
"Davis, Rajai CF DET"	Want-a-be Ghetto All Stars	366	52	92	63	20	4	5	32	22	77	42	10	0.2514	0.2995	0.3689	119
"De Aza, Alejandro CF CHW "	Free Agent	428	65	119	83	22	4	10	45	38	97	19	8	0.2780	0.3425	0.4182	120
"Ethier, Andre RF LAD "	Whiteness	508	67	144	96	33	1	14	68	56	107	2	2	0.2835	0.3595	0.4350	122
"Brantley, Michael CF CLE "	Free Agent	520	64	146	105	29	4	8	60	42	66	14	6	0.2808	0.3333	0.3981	123
"Joyce, Matt RF TB "	Free Agent	425	62	107	63	24	2	18	60	54	98	8	2	0.2518	0.3381	0.4447	135
"Jay, Jon CF STL "	Free Agent	482	67	140	106	24	3	7	48	38	85	12	6	0.2905	0.3551	0.3963	138
"Morse, Michael LF SF "	Whiteness	413	53	114	71	22	0	21	61	24	103	1	1	0.2760	0.3244	0.4818	140
"Rasmus, Colby CF TOR "	Free Agent	484	69	116	68	24	4	20	65	45	133	3	2	0.2397	0.3065	0.4298	142
"Ibanez, Raul LF SEA "	Free Agent	458	56	111	63	23	2	23	70	37	100	2	0	0.2424	0.3006	0.4520	144
"Bonifacio, Emilio 2B KC "	Free Agent	410	54	111	86	17	5	3	26	38	95	33	7	0.2707	0.3319	0.3585	159
"Revere, Ben CF PHI "	Orange-a-Tangs	425	54	122	107	10	5	0	26	24	44	32	9	0.2871	0.3274	0.3341	161
"Parra, Gerardo LF ARI"	Free Agent	477	64	132	91	28	5	8	43	41	86	13	7	0.2767	0.3359	0.4067	165
"Pierre, Juan CF MIA"	Free Agent	447	58	125	107	13	4	1	28	26	32	29	10	0.2796	0.3257	0.3333	166
"Jones, Garrett 1B MIA"	Free Agent	434	53	109	60	28	2	19	65	37	103	3	1	0.2512	0.3082	0.4562	168
"Reddick, Josh LF OAK "	Free Agent	417	60	102	60	22	3	17	56	40	96	7	2	0.2446	0.3103	0.4341	170
"Johnson, Kelly OF NYY "	Titty`s Warriors	473	59	107	66	19	4	18	55	52	140	12	4	0.2262	0.3070	0.3975	174
"Marte, Starling CF PIT "	Whiteness	338	50	93	63	14	8	8	26	16	94	26	10	0.2751	0.3324	0.4349	175
"Myers, Wil RF TB"	SA`s	335	50	98	62	23	0	13	53	33	91	5	2	0.2925	0.3539	0.4776	178
"Gardner, Brett CF NYY "	User Abuser	360	58	96	67	18	6	5	30	39	76	25	8	0.2667	0.3448	0.3917	179
"Harper, Bryce RF WAS "	Orange-a-Tangs	319	56	87	52	17	4	14	39	39	71	10	3	0.2727	0.3536	0.4828	183
"Murphy, David LF CLE"	Free Agent	432	54	115	77	23	2	13	51	41	65	7	5	0.2662	0.3312	0.4190	191
"Young, Chris CF NYM"	Free Agent	409	57	92	48	27	2	15	51	51	104	13	5	0.2249	0.3133	0.4108	195
"Ross, Cody CF ARI "	Free Agent	399	52	104	63	25	1	15	57	39	92	3	2	0.2607	0.3274	0.4411	203
"Gattis, Evan OF ATL"	Sofa Kings	354	44	86	44	21	0	21	65	21	81	0	0	0.2429	0.2906	0.4802	204
"Francoeur, Jeff RF CLE "	Free Agent	469	52	118	74	28	3	13	51	27	101	10	6	0.2516	0.2984	0.4072	205
"Quentin, Carlos LF SD "	Free Agent	327	46	86	44	24	0	18	56	34	60	0	1	0.2630	0.3570	0.5015	214
"Denorfia, Chris CF SD "	Free Agent	376	54	106	77	18	3	8	34	32	62	12	4	0.2819	0.3374	0.4096	217
"Smith, Seth LF SD "	Free Agent	409	57	107	64	27	4	12	50	45	95	4	1	0.2616	0.3384	0.4352	221
"Span, Denard CF WAS"	Free Agent	470	61	130	94	26	7	3	35	39	58	14	4	0.2766	0.3327	0.3809	222
"Maybin, Cameron CF SD "	Want-a-be Ghetto All Stars	358	52	89	64	15	4	6	30	31	81	23	5	0.2486	0.3104	0.3631	224
"Blanco, Gregor LF SF "	Free Agent	422	53	108	82	16	6	4	38	52	100	20	8	0.2559	0.3389	0.3507	227
"Aviles, Mike 3B CLE"	Free Agent	386	47	97	66	20	1	10	48	17	54	12	5	0.2513	0.2822	0.3860	232
"Young, Delmon LF TB "	Free Agent	460	46	122	86	21	1	14	59	21	92	0	1	0.2652	0.3000	0.4065	235
"Kubel, Jason LF MIN "	Free Agent	377	44	95	57	20	2	16	60	39	110	1	1	0.2520	0.3214	0.4430	237
"Young, Eric LF NYM "	EVIL EMPIRE	304	47	79	60	13	4	2	19	28	56	29	6	0.2599	0.3274	0.3487	245
"Moss, Brandon 1B OAK "	Orange-a-Tangs	239	40	64	32	14	1	17	46	25	77	2	1	0.2678	0.3420	0.5481	248
"Crawford, Carl LF LAD"	EVIL EMPIRE	353	50	95	61	23	4	7	35	18	64	13	3	0.2691	0.3077	0.4164	249
"DeJesus, David LF TB"	Free Agent	446	63	112	72	26	5	9	45	48	85	5	5	0.2511	0.3340	0.3924	256
"Gomes, Jonny LF BOS"	Free Agent	301	45	72	44	13	0	15	47	45	99	4	1	0.2392	0.3473	0.4319	266
"Wells, Vernon CF NYY "	Free Agent	391	47	88	58	13	1	16	48	22	65	6	3	0.2251	0.2662	0.3862	269
"Doumit, Ryan C ATL "	Floaters and Sinkers	396	41	106	67	25	1	13	53	31	77	0	0	0.2677	0.3226	0.4343	270
"Byrd, Marlon CF PHI "	Titty`s Warriors	374	45	103	70	20	2	11	44	20	84	2	3	0.2754	0.3193	0.4278	272
"Saunders, Michael LF SEA "	Free Agent	358	49	82	49	20	2	11	37	36	102	13	4	0.2291	0.2990	0.3883	273
"Mayberry, John LF PHI "	Free Agent	354	46	87	52	21	1	13	45	29	85	5	2	0.2458	0.3057	0.4209	275
"Ludwick, Ryan RF CIN"	Free Agent	347	39	88	55	19	0	14	56	34	83	0	1	0.2536	0.3230	0.4294	283
"Schierholtz, Nate RF CHC "	Old Dirty Bugg	346	39	90	54	21	3	12	43	24	67	5	3	0.2601	0.3130	0.4422	293
"McLouth, Nate CF WAS "	Sofa Kings	355	50	87	58	19	2	8	24	41	66	15	3	0.2451	0.3275	0.3775	298
"Brown, Domonic RF PHI"	Sofa Kings	289	38	75	47	14	2	12	43	28	55	4	1	0.2595	0.3250	0.4464	302
"Dirks, Andy CF DET "	Free Agent	324	50	89	63	16	2	8	33	25	58	4	1	0.2747	0.3295	0.4105	306
"Ruggiano, Justin LF CHC"	Free Agent	272	33	70	42	15	1	12	33	25	75	10	6	0.2574	0.3233	0.4522	308
"Boesch, Brennan RF NYY"	Free Agent	316	44	83	56	16	1	10	39	21	65	4	2	0.2627	0.3129	0.4146	310
"Viciedo, Dayan RF CHW "	Free Agent	349	39	91	62	15	1	13	47	20	80	0	1	0.2607	0.3059	0.4212	312
"Duda, Lucas LF NYM "	Free Agent	340	41	85	54	17	1	13	47	46	93	1	1	0.2500	0.3485	0.4206	313
"Ackley, Dustin OF SEA "	Free Agent	441	54	108	78	19	4	7	39	45	92	7	2	0.2449	0.3135	0.3537	316
"Heisey, Chris CF CIN "	Free Agent	283	39	72	47	12	2	11	35	15	70	5	1	0.2544	0.3039	0.4276	334
"Puig, Yasiel OF LAD "	SA`s	191	33	61	40	10	1	10	21	18	48	6	4	0.3194	0.3917	0.5393	338
"Schafer, Jordan CF ATL "	Free Agent	282	39	65	50	9	3	3	19	31	83	24	6	0.2305	0.3101	0.3156	342
"Bourjos, Peter CF STL "	Floaters and Sinkers	282	42	74	51	12	5	6	25	19	70	10	3	0.2624	0.3204	0.4043	352
"Guzman, Jesus LF HOU "	Free Agent	274	33	71	43	19	1	8	42	26	64	5	2	0.2591	0.3267	0.4234	357
"Gentry, Craig LF OAK "	Free Agent	206	32	59	45	10	3	1	20	18	38	18	3	0.2864	0.3648	0.3786	361
"Carter, Chris 1B HOU "	Disco Bush Horticulturists	256	35	57	29	12	1	15	40	37	105	1	0	0.2227	0.3199	0.4531	369
"Dyson, Jarrod CF KC"	Free Agent	183	30	47	37	6	3	1	10	19	38	25	4	0.2568	0.3268	0.3388	373
"Tabata, Jose LF PIT"	Free Agent	325	44	86	61	18	3	4	23	31	55	9	7	0.2646	0.3370	0.3754	378
"Hairston, Scott LF WAS"	Free Agent	222	30	53	27	13	1	12	36	13	54	4	1	0.2387	0.2845	0.4685	381
"Nava, Daniel RF BOS "	User Abuser	242	38	68	45	17	0	6	33	29	52	1	1	0.2810	0.3723	0.4256	390
"Raburn, Ryan LF CLE"	Orange-a-Tangs	278	36	67	38	18	1	10	39	21	78	1	1	0.2410	0.2993	0.4209	393
"Davis, Khris LF MIL"	Free Agent	136	27	38	17	10	0	11	27	11	34	3	0	0.2794	0.3529	0.5956	398
"Yelich, Christian LF MIA"	SA`s	240	34	69	52	12	1	4	16	31	66	10	0	0.2875	0.3700	0.3958	400
"Bay, Jason LF SEA "	Free Agent	281	37	61	42	9	0	10	32	34	76	6	1	0.2171	0.3009	0.3559	403
"Bloomquist, Willie 2B SEA"	Free Agent	271	36	78	62	12	3	1	21	14	39	9	7	0.2878	0.3253	0.3653	408
"Torres, Andres CF SF "	Free Agent	331	43	77	52	19	3	3	25	39	82	12	5	0.2326	0.3155	0.3353	411
"Carp, Mike LF BOS "	Free Agent	223	26	60	36	14	1	9	36	21	65	1	1	0.2691	0.3373	0.4619	413
"Scott, Luke DH TB "	Free Agent	259	29	60	33	15	1	11	39	25	66	2	1	0.2317	0.3034	0.4247	414
"Pollock, A.J. CF ARI"	Free Agent	262	36	70	46	16	3	5	23	21	46	6	2	0.2672	0.3217	0.4084	421
"Martinez, J.D. LF HOU "	Free Agent	300	29	75	51	15	1	8	42	21	75	1	1	0.2500	0.2985	0.3867	424
"Wigginton, Ty 1B STL "	Free Agent	258	34	60	39	11	1	9	31	27	61	3	1	0.2326	0.3103	0.3876	435
"Bernadina, Roger CF PHI"	Free Agent	254	30	61	44	11	1	5	21	22	60	12	2	0.2402	0.3107	0.3504	438
"Ozuna, Marcell RF MIA "	Free Agent	275	31	73	49	17	4	3	32	13	57	5	1	0.2655	0.3034	0.3891	443
"Colvin, Tyler LF COL "	Free Agent	234	29	55	30	12	4	9	34	13	67	2	1	0.2350	0.2771	0.4359	452
"Cain, Lorenzo CF KC"	Free Agent	214	28	55	39	10	2	4	26	16	50	8	2	0.2570	0.3106	0.3785	454
"Morgan, Nyjer CF CLE "	Free Agent	222	35	61	48	8	3	2	18	13	44	8	3	0.2748	0.3333	0.3649	456
"Presley, Alex CF MIN"	Free Agent	249	30	66	45	10	5	6	20	13	50	6	5	0.2651	0.3042	0.4177	465
"Maxwell, Justin CF KC "	Free Agent	183	27	44	24	10	2	8	26	18	64	5	2	0.2404	0.3137	0.4481	470
"Johnson, Elliot 2B ATL"	Free Agent	237	26	52	38	8	2	4	23	18	68	15	5	0.2194	0.2763	0.3207	472
"Martin, Leonys OF TEX "	SA`s	170	25	43	28	9	3	3	18	11	39	13	3	0.2529	0.3081	0.3941	473
"Schumaker, Skip OF CIN"	Free Agent	319	34	88	69	16	1	2	32	27	51	1	2	0.2759	0.3343	0.3511	477
"Hicks, Aaron OF MIN"	Free Agent	281	37	54	32	11	3	8	27	24	84	9	3	0.1922	0.2589	0.3381	484
"Rodriguez, Sean OF TB "	Free Agent	290	34	65	42	15	2	6	30	27	74	6	3	0.2241	0.3079	0.3517	486
"Grossman, Robbie CF HOU"	Free Agent	257	29	69	51	14	0	4	21	23	70	6	7	0.2685	0.3322	0.3696	494
"Berry, Quintin CF BOS "	Free Agent	150	24	40	30	5	3	2	16	13	41	12	0	0.2667	0.3413	0.3800	503
"Campana, Tony LF ARI"	Free Agent	121	20	32	29	3	0	0	4	9	29	21	2	0.2645	0.3154	0.2893	504
"Bogusevic, Brian RF MIA"	Free Agent	221	26	53	36	10	1	6	20	22	57	7	2	0.2398	0.3158	0.3756	525
"Fuld, Sam LF TB "	Free Agent	194	27	45	33	7	3	2	16	19	30	12	4	0.2320	0.3023	0.3299	533
