All First Basemen 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Fielder, Prince 1B TEX"	Floaters and Sinkers	591	87	175	108	35	1	31	111	89	102	1	1	0.2961	0.3954	0.5161	9
"Gonzalez, Adrian 1B LAD"	SA`s	614	84	191	127	41	1	22	108	54	109	1	0	0.3111	0.3662	0.4886	15
"Encarnacion, Edwin 1B TOR"	Sofa Kings	518	84	142	80	30	0	32	90	70	78	9	2	0.2741	0.3639	0.5174	18
"Votto, Joey 1B CIN"	Want-a-be Ghetto All Stars	518	87	163	101	38	2	22	77	113	117	6	4	0.3147	0.4375	0.5232	27
"Pujols, Albert 1B LAA "	Titty`s Warriors	526	80	149	88	33	0	28	89	51	63	6	1	0.2833	0.3480	0.5057	29
"Ortiz, David DH BOS "	Shits & Giggles	456	78	142	79	35	1	27	86	70	74	2	1	0.3114	0.4019	0.5702	30
"Freeman, Freddie 1B ATL "	Shits & Giggles	554	82	159	105	31	1	22	93	61	131	2	1	0.2870	0.3615	0.4657	43
"Trumbo, Mark 1B ARI "	Shits & Giggles	568	72	143	82	27	2	32	94	38	152	6	4	0.2518	0.3007	0.4754	44
"Goldschmidt, Paul 1B ARI"	Want-a-be Ghetto All Stars	424	71	123	71	29	2	21	78	60	109	12	3	0.2901	0.3768	0.5165	49
"Butler, Billy DH KC "	EVIL EMPIRE	598	69	178	123	34	0	21	95	66	103	1	1	0.2977	0.3685	0.4599	50
"Davis, Chris 1B BAL "	Orange-a-Tangs	433	68	120	65	25	0	30	81	40	144	2	1	0.2771	0.3444	0.5427	60
"Cuddyer, Michael RF COL"	Disco Bush Horticulturists	459	66	135	84	30	2	19	71	42	91	10	2	0.2941	0.3538	0.4924	65
"Hosmer, Eric 1B KC "	Floaters and Sinkers	560	72	155	107	28	3	17	72	47	92	13	3	0.2768	0.3312	0.4286	66
"Molina, Yadier C STL"	Old Dirty Bugg	495	63	155	104	35	0	16	74	36	51	6	3	0.3131	0.3606	0.4808	71
"Swisher, Nick 1B CLE"	Free Agent	537	77	139	84	31	1	23	80	83	135	2	2	0.2588	0.3587	0.4488	81
"Napoli, Mike 1B BOS "	Free Agent	406	68	109	58	24	1	26	74	62	132	2	1	0.2685	0.3705	0.5246	82
"Santana, Carlos C CLE "	Whiteness	533	77	135	77	34	2	22	76	94	115	4	3	0.2533	0.3648	0.4484	90
"Konerko, Paul 1B CHW "	Free Agent	514	59	145	101	21	0	23	78	59	82	0	0	0.2821	0.3590	0.4572	95
"Craig, Allen 1B STL "	Sofa Kings	392	60	122	80	26	1	15	76	31	76	3	0	0.3112	0.3634	0.4974	96
"Murphy, Daniel 2B NYM "	Titty`s Warriors	540	68	160	114	35	3	8	64	31	73	13	3	0.2963	0.3345	0.4167	98
"Young, Michael 3B LAD "	Free Agent	587	73	176	131	31	5	9	73	41	77	3	1	0.2998	0.3433	0.4157	104
"Reynolds, Mark 1B NYY "	Old Dirty Bugg	479	68	106	57	22	0	27	74	66	170	3	3	0.2213	0.3213	0.4363	116
"Posey, Buster C SF"	Disco Bush Horticulturists	404	52	126	85	26	1	14	65	49	65	2	1	0.3119	0.3879	0.4851	132
"Morse, Michael LF SF "	Whiteness	413	53	114	71	22	0	21	61	24	103	1	1	0.2760	0.3244	0.4818	140
"Lucroy, Jonathan C MIL "	Shits & Giggles	422	50	120	83	19	4	14	66	32	71	5	1	0.2844	0.3369	0.4479	146
"Teixeira, Mark 1B NYY "	Free Agent	364	54	89	48	18	1	22	69	46	71	2	1	0.2445	0.3333	0.4808	148
"Hart, Corey 1B SEA "	Titty`s Warriors	351	57	97	55	20	3	19	49	32	88	4	2	0.2764	0.3445	0.5128	152
"Lind, Adam 1B TOR"	Titty`s Warriors	428	50	114	74	19	1	20	66	37	90	1	0	0.2664	0.3227	0.4556	154
