All Players 2007 MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Peavy, Jake SP CHW	User Abuser	223.3	34	28	0	19	6	0	0	240	68	169	2.54	1.06	9
Putz, J.J. RP NYM 	Free Agent	71.7	0	0	0	6	1	40	2	82	13	37	1.38	0.70	10
Saito, Takashi RP BOS 	Free Agent	64.3	0	0	0	2	1	39	4	78	13	33	1.40	0.71	15
Sabathia, CC SP NYY 	Floaters and Sinkers	241.0	34	25	4	19	7	0	0	209	37	238	3.21	1.14	19
Santana, Johan SP NYM 	Want-a-be Ghetto All Stars	219.0	33	21	1	15	13	0	0	235	52	183	3.33	1.07	20
Webb, Brandon SP ARI 	SA`s	236.3	34	22	4	18	10	0	0	194	72	209	3.01	1.19	28
Nathan, Joe RP MIN	Sofa Kings	71.7	0	0	0	4	2	37	4	77	19	54	1.88	1.02	32
Valverde, Jose RP HOU 	Titty`s Warriors	64.3	0	0	0	1	4	47	7	78	26	46	2.66	1.12	33
Papelbon, Jonathan RP BOS	SA`s	58.3	0	0	0	1	3	37	3	84	15	30	1.85	0.77	34
Beckett, Josh SP BOS	Evil Empire	200.7	30	20	1	20	7	0	0	194	40	189	3.27	1.14	38
Jenks, Bobby RP CHW 	Whiteness	65.0	0	0	0	3	5	40	6	56	13	45	2.77	0.89	39
Lackey, John SP ANA 	User Abuser	224.0	33	24	2	19	9	0	0	179	52	219	3.01	1.21	40
Bedard, Erik SP SEA 	SA`s	182.0	28	21	1	13	5	0	0	221	57	141	3.16	1.09	44
Cordero, Francisco RP CIN	Disco Bush Horticulturists	63.3	0	0	0	0	4	44	7	86	18	52	2.98	1.11	46
Harang, Aaron SP CIN 	Titty`s Warriors	231.7	34	20	2	16	6	0	0	218	52	213	3.73	1.14	47
Haren, Dan SP ARI 	Titty`s Warriors	222.7	34	28	0	15	9	0	0	192	55	214	3.07	1.21	51
Rodriguez, Francisco J. RP NYM	Sofa Kings	67.3	0	0	0	5	2	40	6	90	34	50	2.81	1.25	53
Smoltz, John SP STL 	Sofa Kings	205.7	32	26	0	14	8	0	0	197	47	196	3.11	1.18	56
Vazquez, Javier SP ATL 	Titty`s Warriors	216.7	32	20	2	15	8	0	0	213	50	197	3.74	1.14	57
Carmona, Fausto SP CLE	Free Agent	215.0	32	26	2	19	8	0	0	137	61	199	3.06	1.21	59
Hoffman, Trevor RP MIL	Blue Crew	57.3	0	0	0	4	5	42	7	44	15	49	2.98	1.12	60
Hamels, Cole SP PHI 	Disco Bush Horticulturists	183.3	28	16	2	15	5	0	0	177	43	163	3.39	1.12	65
Wagner, Billy RP BOS 	Free Agent	68.3	0	0	0	2	2	34	5	80	22	55	2.63	1.13	68
Shields, James SP TB	Whiteness	215.0	31	20	1	12	8	0	0	184	36	202	3.85	1.11	74
Isringhausen, Jason RP TB 	Free Agent	65.3	0	0	0	4	0	32	2	54	28	42	2.48	1.07	76
Lilly, Ted SP CHC 	Free Agent	207.0	34	20	0	15	8	0	0	174	55	181	3.83	1.14	77
Accardo, Jeremy RP TOR	Free Agent	67.3	0	0	0	4	4	30	5	57	24	51	2.14	1.11	78
Young, Chris R. SP SD 	Blue Crew	173.0	30	18	0	9	8	0	0	167	72	118	3.12	1.10	80
Hudson, Tim SP ATL 	Blue Crew	224.3	34	25	1	16	10	0	0	132	53	221	3.33	1.22	83
Verlander, Justin SP DET 	Want-a-be Ghetto All Stars	201.7	32	21	1	18	6	0	0	183	67	181	3.66	1.23	85
Rivera, Mariano RP NYY 	Floaters and Sinkers	71.3	0	0	0	3	4	30	4	74	12	68	3.15	1.12	91
Escobar, Kelvim SP ANA 	Sofa Kings	195.7	30	20	3	18	7	0	0	160	66	182	3.40	1.27	92
Cordero, Chad RP SEA	Free Agent	75.0	0	0	0	3	3	37	9	62	29	75	3.36	1.39	97
Penny, Brad SP SF 	Free Agent	208.0	33	26	0	16	4	0	0	135	73	199	3.03	1.31	98
Gregg, Kevin RP CHC 	Free Agent	84.0	0	0	0	0	5	32	4	87	40	63	3.54	1.23	99
Capps, Matt RP PIT	Free Agent	79.0	0	0	0	4	7	18	3	64	16	64	2.28	1.01	105
Halladay, Roy SP TOR 	Shits & Giggles	225.3	31	21	7	16	7	0	0	139	48	232	3.71	1.24	107
Corpas, Manny RP COL 	Free Agent	78.0	0	0	0	4	2	19	3	58	20	63	2.08	1.06	108
Weathers, David RP MIL 	Free Agent	77.7	0	0	0	2	6	33	6	48	27	67	3.59	1.21	109
