All Players 2008 MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Reyes, Jose B. SS NYM 	Whiteness	688	113	204	132	37	19	16	68	66	82	56	15	0.2965	0.3575	0.4753	2
Pujols, Albert 1B STL 	Shits & Giggles	524	100	187	106	44	0	37	116	104	54	7	3	0.3569	0.4618	0.6527	3
Ramirez, Hanley SS FLA 	Disco Bush Horticulturists	589	125	177	106	34	4	33	67	92	122	35	12	0.3005	0.3997	0.5399	5
Holliday, Matt LF STL 	Free Agent	539	107	173	108	38	2	25	88	74	104	28	2	0.3210	0.4093	0.5380	9
Wright, David 3B NYM	Disco Bush Horticulturists	626	115	189	112	42	2	33	124	94	118	15	5	0.3019	0.3905	0.5335	11
Ramirez, Manny LF LA 	Evil Empire	552	102	183	109	36	1	37	121	87	124	3	0	0.3315	0.4297	0.6014	12
Berkman, Lance 1B HOU	Evil Empire	554	114	173	94	46	4	29	106	99	108	18	4	0.3123	0.4195	0.5668	14
Pedroia, Dustin 2B BOS 	SA`s	653	118	213	140	54	2	17	83	50	52	20	1	0.3262	0.3755	0.4931	15
Sizemore, Grady CF CLE 	Grape Apes	634	101	170	93	39	5	33	90	98	130	38	5	0.2681	0.3745	0.5016	16
Rodriguez, Alex 3B NYY 	Sofa Kings	510	104	154	86	33	0	35	103	65	117	18	3	0.3020	0.3923	0.5725	17
Beltran, Carlos CF NYM	SA`s	606	116	172	100	40	5	27	112	92	96	25	3	0.2838	0.3759	0.5000	19
Hamilton, Josh CF TEX 	Floaters and Sinkers	624	98	190	118	35	5	32	130	64	126	9	1	0.3045	0.3707	0.5304	21
Suzuki, Ichiro RF SEA	Floaters and Sinkers	686	103	213	180	20	7	6	42	51	65	43	4	0.3105	0.3606	0.3863	24
Kinsler, Ian 2B TEX	Free Agent	518	102	165	102	41	4	18	71	45	67	26	2	0.3185	0.3750	0.5174	25
Utley, Chase 2B PHI 	Titty`s Warriors	607	113	177	99	41	4	33	104	64	104	14	2	0.2916	0.3796	0.5354	26
Kemp, Matt CF LA	Sofa Kings	606	93	176	115	38	5	18	76	46	153	35	11	0.2904	0.3399	0.4587	27
Roberts, Brian 2B BAL	Evil Empire	611	107	181	113	51	8	9	57	82	104	40	10	0.2962	0.3780	0.4501	28
Teixeira, Mark 1B NYY 	Shits & Giggles	574	102	177	103	41	0	33	121	97	93	2	0	0.3084	0.4102	0.5523	29
Braun, Ryan J. LF MIL	Disco Bush Horticulturists	611	92	174	91	39	7	37	106	42	129	14	4	0.2848	0.3348	0.5532	31
Ludwick, Ryan RF STL	Evil Empire	538	104	161	81	40	3	37	113	62	146	4	4	0.2993	0.3750	0.5911	33
Abreu, Bobby RF ANA 	Blue Crew	609	100	180	117	39	4	20	100	73	109	22	11	0.2956	0.3713	0.4713	36
Damon, Johnny LF NYY 	Titty`s Warriors	555	95	168	119	27	5	17	71	64	82	29	8	0.3027	0.3752	0.4613	37
Ellsbury, Jacoby CF BOS	Titty`s Warriors	554	98	155	117	22	7	9	47	41	80	50	11	0.2798	0.3355	0.3935	39
Victorino, Shane CF PHI 	Want-a-be Ghetto All Stars	570	102	167	115	30	8	14	58	45	69	36	11	0.2930	0.3521	0.4474	40
McLouth, Nate CF ATL	Disco Bush Horticulturists	597	113	165	89	46	4	26	94	65	93	23	3	0.2764	0.3559	0.4975	41
Rios, Alex RF CHW	Free Agent	635	91	185	115	47	8	15	79	44	112	32	8	0.2913	0.3367	0.4614	42
Jones, Chipper 3B ATL	Evil Empire	439	82	160	113	24	1	22	75	90	61	4	0	0.3645	0.4700	0.5740	43
Huff, Aubrey 1B DET 	User Abuser	598	96	182	100	48	2	32	108	53	89	4	0	0.3043	0.3601	0.5518	44
Youkilis, Kevin 1B BOS	Free Agent	538	91	168	92	43	4	29	115	62	108	3	5	0.3123	0.3897	0.5688	46
Bay, Jason LF BOS 	Want-a-be Ghetto All Stars	577	111	165	95	35	4	31	101	81	137	10	0	0.2860	0.3731	0.5217	49
Rollins, Jimmy SS PHI	Evil Empire	556	76	154	96	38	9	11	59	58	55	47	3	0.2770	0.3489	0.4371	50
Cabrera, Miguel 1B DET 	SA`s	616	85	180	105	36	2	37	127	56	126	1	0	0.2922	0.3494	0.5373	51
Quentin, Carlos LF CHW	Floaters and Sinkers	480	96	138	75	26	1	36	100	66	80	7	3	0.2875	0.3937	0.5708	52
Upton, B.J. CF TB	Shits & Giggles	531	85	145	97	37	2	9	67	97	134	44	16	0.2731	0.3830	0.4011	53
Howard, Ryan 1B PHI 	Titty`s Warriors	610	105	153	75	26	4	48	146	81	199	1	1	0.2508	0.3386	0.5426	54
Markakis, Nick RF BAL	Shits & Giggles	595	106	182	113	48	1	20	87	99	113	10	7	0.3059	0.4060	0.4908	55
Dye, Jermaine RF CHW 	Shits & Giggles	590	96	172	95	41	2	34	96	44	104	3	2	0.2915	0.3442	0.5407	59
Morneau, Justin 1B MIN 	Floaters and Sinkers	623	97	187	113	47	4	23	129	76	85	0	1	0.3002	0.3736	0.4992	60
Winn, Randy RF SF 	Free Agent	598	84	183	133	38	2	10	64	59	88	25	2	0.3060	0.3634	0.4264	61
Gonzalez, Adrian 1B SD 	Blue Crew	616	103	172	103	32	1	36	119	74	142	0	0	0.2792	0.3614	0.5097	62
Taveras, Willy CF CIN	Free Agent	479	64	120	102	15	2	1	26	36	79	68	7	0.2505	0.3078	0.2965	64
Guerrero, Vladimir DH ANA 	User Abuser	541	85	164	103	31	3	27	91	51	77	5	3	0.3031	0.3650	0.5213	65
Soriano, Alfonso LF CHC 	Whiteness	453	76	127	71	27	0	29	75	43	103	19	3	0.2804	0.3439	0.5320	66
Lee, Carlos N. LF HOU	Sofa Kings	436	61	137	82	27	0	28	100	37	49	4	1	0.3142	0.3680	0.5688	68
Delgado, Carlos 1B NYM 	Shits & Giggles	598	96	162	91	32	1	38	115	72	124	1	1	0.2709	0.3528	0.5184	69
Ordonez, Magglio RF DET	Free Agent	561	72	178	123	32	2	21	103	53	76	1	5	0.3173	0.3756	0.4938	70
Ramirez, Aramis 3B CHC 	Whiteness	554	97	160	88	44	1	27	111	74	94	2	2	0.2888	0.3798	0.5181	71
Nady, Xavier RF NYY 	Want-a-be Ghetto All Stars	555	76	169	106	37	1	25	97	39	103	2	1	0.3045	0.3575	0.5099	75
Hunter, Torii CF ANA	Disco Bush Horticulturists	551	85	153	93	37	2	21	78	50	108	19	5	0.2777	0.3438	0.4664	77
Bradley, Milton OF CHC 	Free Agent	414	78	133	78	32	1	22	77	80	112	5	3	0.3213	0.4361	0.5628	78
Ibanez, Raul LF PHI 	Disco Bush Horticulturists	635	85	186	117	43	3	23	110	64	110	2	4	0.2929	0.3579	0.4787	80
Hart, Corey C. RF MIL 	Shits & Giggles	612	76	164	93	45	6	20	91	27	109	23	7	0.2680	0.3002	0.4592	81
Fielder, Prince 1B MIL 	Want-a-be Ghetto All Stars	588	86	162	96	30	2	34	102	84	134	3	2	0.2755	0.3718	0.5068	82
Lee, Derrek 1B CHC	Disco Bush Horticulturists	623	93	181	117	41	3	20	90	71	119	8	2	0.2905	0.3610	0.4623	84
Cantu, Jorge 1B FLA	Sofa Kings	628	92	174	104	41	0	29	95	40	111	6	2	0.2771	0.3270	0.4809	85
Ethier, Andre RF LA	Grape Apes	525	90	160	97	38	5	20	77	59	88	6	3	0.3048	0.3748	0.5105	86
Mauer, Joe C MIN 	Blue Crew	536	98	176	132	31	4	9	85	84	50	1	1	0.3284	0.4130	0.4515	87
Granderson, Curtis CF DET	Want-a-be Ghetto All Stars	553	112	155	94	26	13	22	66	71	111	12	4	0.2803	0.3646	0.4937	88
Werth, Jayson RF PHI 	Grape Apes	418	73	114	71	16	3	24	67	57	119	20	1	0.2727	0.3631	0.4976	89
Votto, Joey 1B CIN	Grape Apes	526	69	156	97	32	3	24	84	59	102	7	5	0.2966	0.3684	0.5057	90
McCann, Brian C ATL	Sofa Kings	509	68	153	87	42	1	23	87	57	64	5	0	0.3006	0.3735	0.5226	96
DeRosa, Mark 3B STL 	Whiteness	505	103	144	90	30	3	21	87	69	106	6	0	0.2851	0.3756	0.4812	97
Phillips, Brandon 2B CIN	Grape Apes	559	80	146	94	24	7	21	78	39	93	23	10	0.2612	0.3120	0.4419	98
Lopez, Jose 2B SEA	Floaters and Sinkers	644	80	191	132	41	1	17	89	27	67	6	3	0.2966	0.3216	0.4425	101
Ramirez, Alexei SS CHW	Want-a-be Ghetto All Stars	480	65	139	94	22	2	21	77	18	61	13	9	0.2896	0.3168	0.4750	102
Jeter, Derek SS NYY 	Evil Empire	596	88	179	140	25	3	11	69	52	85	11	5	0.3003	0.3631	0.4077	105
Jackson, Conor LF ARI 	SA`s	540	87	162	113	31	6	12	75	59	61	10	2	0.3000	0.3764	0.4463	106
Uggla, Dan 2B FLA	Titty`s Warriors	531	97	138	68	37	1	32	92	77	171	5	5	0.2599	0.3603	0.5141	108
DeJesus, David LF KC	Free Agent	518	70	159	115	25	7	12	73	46	71	11	8	0.3069	0.3665	0.4517	109
Mora, Melvin 3B BAL 	Free Agent	513	77	146	92	29	2	23	104	37	70	3	7	0.2846	0.3422	0.4834	110
Martin, Russell C LA	Titty`s Warriors	553	87	155	117	25	0	13	69	90	83	18	6	0.2803	0.3846	0.3960	113
Theriot, Ryan SS CHC	Disco Bush Horticulturists	580	85	178	154	19	4	1	38	73	58	22	13	0.3069	0.3866	0.3586	115
Atkins, Garrett 3B COL	Free Agent	611	86	175	119	32	3	21	99	40	100	1	1	0.2864	0.3283	0.4517	116
Peralta, Jhonny 3B CLE	User Abuser	605	104	167	98	42	4	23	89	48	126	3	1	0.2760	0.3308	0.4727	118
Young, Michael 3B TEX	Floaters and Sinkers	645	102	183	133	36	2	12	82	55	109	10	0	0.2837	0.3390	0.4016	119
Pence, Hunter RF HOU	Grape Apes	595	78	160	97	34	4	25	83	40	124	11	10	0.2689	0.3178	0.4655	120
Drew, Stephen SS ARI	Shits & Giggles	611	91	178	102	44	11	21	67	41	109	3	3	0.2913	0.3333	0.5025	121
Young, Delmon LF MIN	Free Agent	575	80	167	125	28	4	10	69	35	105	14	5	0.2904	0.3360	0.4052	123
Longoria, Evan 3B TB	Grape Apes	448	67	122	62	31	2	27	85	46	122	7	0	0.2723	0.3425	0.5312	124
Guzman, Cristian SS WAS	Blue Crew	579	77	183	134	35	5	9	55	23	57	6	5	0.3161	0.3453	0.4404	126
Cabrera, Orlando SS MIN 	SA`s	661	93	186	144	33	1	8	57	56	71	19	6	0.2814	0.3343	0.3707	127
Gomez, Carlos CF MIL 	Free Agent	577	79	149	111	24	7	7	59	25	142	33	11	0.2582	0.2962	0.3605	130
Polanco, Placido 2B DET 	Free Agent	580	90	178	133	34	3	8	58	35	43	7	1	0.3069	0.3504	0.4172	131
Doumit, Ryan C PIT	Floaters and Sinkers	431	71	137	88	34	0	15	69	23	55	2	2	0.3179	0.3570	0.5012	132
Wells, Vernon CF TOR 	Free Agent	427	63	128	85	22	1	20	78	29	46	4	2	0.2998	0.3433	0.4965	133
Anderson, Garret LF ATL 	Free Agent	557	66	163	118	27	3	15	84	29	77	7	4	0.2926	0.3255	0.4327	134
Milledge, Lastings CF PIT	Free Agent	523	65	140	100	24	2	14	61	38	96	24	9	0.2677	0.3299	0.4015	135
Johnson, Kelly 2B ATL	Free Agent	547	86	157	100	39	6	12	69	52	113	11	6	0.2870	0.3488	0.4461	136
Aviles, Mike SS KC 	Free Agent	419	68	136	95	27	4	10	51	18	58	8	3	0.3246	0.3537	0.4797	137
Hawpe, Brad RF COL	Blue Crew	488	69	138	86	24	3	25	85	76	134	2	2	0.2828	0.3814	0.4980	138
Pierre, Juan LF LA	Free Agent	375	44	106	93	10	2	1	28	22	24	40	12	0.2827	0.3267	0.3280	139
Loney, James 1B LA	Want-a-be Ghetto All Stars	595	66	172	118	35	6	13	90	45	85	7	4	0.2891	0.3385	0.4336	143
Hardy, J.J. SS MIN 	Free Agent	569	78	161	102	31	4	24	74	52	98	2	1	0.2830	0.3429	0.4780	144
Crawford, Carl LF TB 	Want-a-be Ghetto All Stars	443	69	121	91	12	10	8	57	30	60	25	7	0.2731	0.3187	0.3995	145
Reynolds, Mark 3B ARI	Titty`s Warriors	539	87	129	70	28	3	28	97	64	204	11	2	0.2393	0.3203	0.4583	146
Beltre, Adrian 3B SEA 	User Abuser	556	74	148	93	29	1	25	77	50	90	8	2	0.2662	0.3268	0.4568	149
Dunn, Adam LF WAS	Whiteness	517	79	122	59	23	0	40	100	122	164	2	1	0.2360	0.3856	0.5126	150
Lewis, Fred LF SF	Free Agent	468	81	132	87	25	11	9	40	51	124	21	7	0.2821	0.3512	0.4402	151
Giles, Brian RF SD 	Free Agent	559	81	171	115	40	4	12	63	87	52	2	2	0.3059	0.3982	0.4562	152
Glaus, Troy 3B STL 	Free Agent	544	69	147	86	33	1	27	99	87	104	0	1	0.2702	0.3721	0.4835	154
Soto, Geovany C CHC	User Abuser	494	66	141	81	35	2	23	86	62	121	0	1	0.2854	0.3641	0.5040	157
