All Players 2009 MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Pujols, Albert 1B STL 	Shits & Giggles	568	124	186	93	45	1	47	135	115	64	16	4	0.3275	0.4429	0.6585	1
Ellsbury, Jacoby CF BOS	Titty`s Warriors	624	94	188	143	27	10	8	60	49	74	70	12	0.3013	0.3547	0.4151	3
Ramirez, Hanley SS FLA 	Disco Bush Horticulturists	576	101	197	130	42	1	24	106	61	101	27	8	0.3420	0.4101	0.5434	4
Crawford, Carl LF TB 	Want-a-be Ghetto All Stars	606	96	185	134	28	8	15	68	51	99	60	16	0.3053	0.3642	0.4521	5
Braun, Ryan J. LF MIL	Disco Bush Horticulturists	635	113	203	126	39	6	32	114	57	121	20	6	0.3197	0.3856	0.5512	7
Jeter, Derek SS NYY 	Evil Empire	634	107	212	166	27	1	18	66	72	90	30	5	0.3344	0.4059	0.4653	10
Kemp, Matt CF LA	Sofa Kings	606	97	180	122	25	7	26	101	52	139	34	8	0.2970	0.3523	0.4901	12
Mauer, Joe C MIN 	Blue Crew	523	94	191	132	30	1	28	96	76	63	4	1	0.3652	0.4439	0.5870	16
Fielder, Prince 1B MIL 	Want-a-be Ghetto All Stars	591	103	177	93	35	3	46	141	110	138	2	3	0.2995	0.4117	0.6024	17
Suzuki, Ichiro RF SEA	Floaters and Sinkers	639	88	225	179	31	4	11	46	32	71	26	9	0.3521	0.3861	0.4648	19
Cabrera, Miguel 1B DET 	SA`s	611	96	198	130	34	0	34	103	68	107	6	2	0.3241	0.3956	0.5466	21
Howard, Ryan 1B PHI 	Titty`s Warriors	616	105	172	86	37	4	45	141	75	186	8	1	0.2792	0.3599	0.5714	24
Tulowitzki, Troy SS COL	User Abuser	543	101	161	95	25	9	32	92	73	112	20	11	0.2965	0.3774	0.5525	25
Bourn, Michael CF HOU	Floaters and Sinkers	606	97	173	131	27	12	3	35	63	140	61	12	0.2855	0.3536	0.3845	26
Reynolds, Mark 3B ARI	Titty`s Warriors	578	98	150	75	30	1	44	102	76	223	24	9	0.2595	0.3489	0.5433	27
Utley, Chase 2B PHI 	Titty`s Warriors	571	112	161	98	28	4	31	93	88	110	23	0	0.2820	0.3974	0.5079	28
Holliday, Matt LF STL 	Free Agent	581	94	182	116	39	3	24	109	72	101	14	7	0.3133	0.3940	0.5146	29
Bartlett, Jason SS TB	Floaters and Sinkers	500	90	160	110	29	7	14	66	54	89	30	7	0.3200	0.3890	0.4900	33
Abreu, Bobby RF ANA 	Blue Crew	563	96	165	118	29	3	15	103	94	113	30	8	0.2931	0.3898	0.4352	34
