All Players 2008 MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Halladay, Roy SP TOR 	Shits & Giggles	246.0	33	23	9	20	11	0	0	206	39	220	2.78	1.05	1
Sabathia, CC SP NYY 	Floaters and Sinkers	253.0	35	25	10	17	10	0	0	251	59	223	2.70	1.11	4
Rivera, Mariano RP NYY 	Floaters and Sinkers	70.7	0	0	0	6	5	39	1	77	6	41	1.40	0.67	6
Rodriguez, Francisco J. RP NYM	Sofa Kings	68.3	0	0	0	2	3	62	7	77	34	54	2.24	1.29	7
Lincecum, Tim SP SF 	Shits & Giggles	227.0	33	26	2	18	5	0	0	265	84	182	2.62	1.17	8
Lee, Cliff SP PHI 	Whiteness	223.3	31	23	4	22	3	0	0	170	34	214	2.54	1.11	10
Santana, Johan SP NYM 	Want-a-be Ghetto All Stars	234.3	34	28	3	16	7	0	0	206	63	206	2.53	1.15	13
Soria, Joakim RP KC	Floaters and Sinkers	67.3	0	0	0	2	3	42	3	66	19	39	1.60	0.86	18
Papelbon, Jonathan RP BOS	SA`s	69.3	0	0	0	5	4	41	5	77	8	58	2.34	0.95	20
Hamels, Cole SP PHI 	Disco Bush Horticulturists	227.3	33	23	2	14	10	0	0	196	53	193	3.09	1.08	22
Nathan, Joe RP MIN	Sofa Kings	67.7	0	0	0	1	2	39	6	74	18	43	1.33	0.90	23
Valverde, Jose RP HOU 	Titty`s Warriors	72.0	0	0	0	6	3	44	7	83	23	62	3.38	1.18	30
Webb, Brandon SP ARI 	SA`s	226.7	34	24	3	22	7	0	0	183	65	206	3.30	1.20	32
Haren, Dan SP ARI 	Titty`s Warriors	216.0	33	23	1	16	8	0	0	206	40	204	3.33	1.13	34
Santana, Ervin SP ANA	Sofa Kings	219.0	32	22	2	16	7	0	0	214	47	198	3.49	1.12	35
Lidge, Brad RP PHI 	Free Agent	69.3	0	0	0	2	0	41	0	92	35	50	1.95	1.23	38
Harden, Rich SP CHC 	Want-a-be Ghetto All Stars	148.0	25	14	0	10	2	0	0	181	61	96	2.07	1.06	45
Dempster, Ryan SP CHC	Want-a-be Ghetto All Stars	206.7	33	21	1	17	6	0	0	187	76	174	2.96	1.21	47
Nolasco, Ricky SP FLA	Grape Apes	212.3	32	23	1	15	8	0	0	186	42	192	3.52	1.10	48
Lowe, Derek SP ATL	Titty`s Warriors	211.0	34	20	1	14	11	0	0	147	45	194	3.24	1.13	56
Sheets, Ben SP MIL 	Free Agent	198.3	31	18	5	13	9	0	0	158	47	181	3.09	1.15	57
Wood, Kerry RP CLE	Titty`s Warriors	66.3	0	0	0	5	4	34	6	84	18	54	3.26	1.09	58
Oswalt, Roy SP HOU 	Whiteness	208.7	32	22	3	17	10	0	0	165	47	199	3.54	1.18	63
Shields, James SP TB	Whiteness	215.0	33	22	3	14	8	0	0	160	40	208	3.56	1.15	67
Duchscherer, Justin SP OAK 	Sofa Kings	141.7	22	15	1	10	8	0	0	95	34	107	2.54	1.00	72
Peavy, Jake SP CHW	User Abuser	173.7	27	19	1	10	11	0	0	166	59	146	2.85	1.18	73
Volquez, Edinson SP CIN 	SA`s	196.0	32	20	0	17	6	0	0	206	93	167	3.21	1.33	74
Billingsley, Chad SP LA	Titty`s Warriors	200.7	32	20	1	16	10	0	0	201	80	188	3.14	1.34	76
Lester, Jon SP BOS	Evil Empire	210.3	33	20	2	16	6	0	0	152	66	202	3.21	1.27	79
Fuentes, Brian RP ANA 	Blue Crew	62.7	0	0	0	1	5	30	4	82	22	47	2.73	1.10	83
Matsuzaka, Daisuke SP BOS	Shits & Giggles	167.7	29	14	0	18	3	0	0	154	94	128	2.90	1.32	91
Cordero, Francisco RP CIN	Disco Bush Horticulturists	70.3	0	0	0	5	4	34	6	78	38	61	3.33	1.41	92
Danks, John SP CHW	Grape Apes	195.0	33	19	0	12	9	0	0	159	57	182	3.32	1.23	93
Jenks, Bobby RP CHW 	Whiteness	61.7	0	0	0	3	1	30	4	38	17	51	2.63	1.10	94
Saunders, Joe SP ANA 	Shits & Giggles	198.0	31	22	1	17	7	0	0	103	53	187	3.41	1.21	95
Greinke, Zack SP KC 	User Abuser	202.3	32	23	1	13	10	0	0	183	56	202	3.47	1.28	99
Lilly, Ted SP CHC 	Free Agent	204.7	34	21	0	17	9	0	0	184	64	187	4.09	1.23	100
Wilson, Brian RP SF	Blue Crew	62.3	0	0	0	3	2	41	6	67	28	62	4.62	1.44	103
Gregg, Kevin RP CHC 	Free Agent	68.7	0	0	0	7	8	29	9	58	37	51	3.41	1.28	104
Burnett, A.J. SP NYY 	Evil Empire	221.3	34	19	1	18	10	0	0	231	86	211	4.07	1.34	107
Ryan, B.J. RP CHC	Free Agent	58.0	0	0	0	2	4	32	4	58	28	46	2.95	1.28	111
